age_int,gender_c_int,height_metric_float,weight_metric_float,bmi_float,bmi_target_c_int
19.0,0.0,1.69874936350593,114.1134452670628,39.5437820299282,0.0
35.0,0.0,1.822254429472855,76.98050508709032,23.182631243963186,0.0
21.0,1.0,1.6001999999999998,72.57472,28.34241395366137,3.0
54.0,1.0,1.6186042432240477,94.03610272262625,35.89329039025525,1.0
92.0,1.0,1.6761310375876866,47.304079815883775,16.837695932960024,2.0
70.0,0.0,1.7619895180237763,153.4023077146132,49.41118301595546,2.0
39.0,0.0,1.8288,114.305184,34.17696557615337,3.0
36.0,1.0,1.7271999999999998,81.64656,27.368603180112938,3.0
56.0,0.0,1.8971716293576708,128.92071124246604,35.81866950220785,1.0
29.0,1.0,1.637631143992827,58.092563123743496,21.661491694765765,0.0
45.0,1.0,1.6911996685888124,104.61158817218195,36.57547927572036,1.0
43.0,0.0,1.8260798418619324,67.09074075292779,20.119772343848332,1.0
28.0,0.0,1.7526,72.57472,23.627607851729042,3.0
57.0,1.0,1.7881023048268625,112.14396236474458,35.074474335387464,1.0
47.0,1.0,1.8796,72.57472,20.542556790007662,3.0
55.0,1.0,1.8034,74.84268,23.01257409497561,3.0
90.0,0.0,1.9263666129339778,27.182213732293896,7.324988340768287,2.0
70.0,1.0,1.8458571613846515,41.99100342773459,12.32423784388809,2.0
24.0,1.0,1.7731739698064504,67.18588735350674,21.368565234933776,0.0
20.0,0.0,1.7799003529415918,95.69138599405257,30.2051826749126,0.0
70.0,0.0,1.8308919861851303,1.5651415684340906,0.46690462769210916,2.0
46.0,0.0,1.6764,54.431039999999996,19.368292180110533,3.0
75.0,0.0,1.6391133919424292,80.45339700772854,29.94514283640138,2.0
20.0,1.0,1.8274740505221367,116.59996764553915,34.91370935370477,0.0
75.0,0.0,1.7636152891748054,74.59393470653578,23.982574692829512,2.0
51.0,1.0,1.7239537371078966,86.96254927724858,29.260453176318173,1.0
51.0,1.0,1.6733738488106709,21.703992676013282,7.750927576934876,1.0
55.0,0.0,1.6764,81.64656,29.052438270165798,3.0
77.0,1.0,1.8075004747705714,80.24341051547003,24.5613672433395,2.0
91.0,0.0,1.7610558903263134,100.07146836902535,32.26740155190347,2.0
44.0,1.0,1.8627320462835473,63.52161495522778,18.307150783765525,1.0
19.0,1.0,1.6854179310952861,117.27742598340767,41.285657496252796,0.0
83.0,1.0,1.511971000809952,22.038065815005773,9.640211286452674,2.0
93.0,1.0,1.7555485639809785,120.59829094596185,39.13050542266477,2.0
41.0,0.0,1.8336852836643387,117.87829083905191,35.0577654521389,1.0
45.0,1.0,1.7271999999999998,74.84268,25.087886248436863,3.0
48.0,1.0,1.7018,80.739376,27.878432410908037,3.0
50.0,1.0,1.9115964309320528,7.231265486269544,1.9788910503187227,1.0
26.0,0.0,1.6806118276959043,43.42111557249606,15.373266143481736,0.0
37.0,1.0,1.6764,72.57472,25.82438957348071,3.0
44.0,1.0,1.6645335648218749,71.91264633718492,25.954947622013385,1.0
36.0,1.0,1.8602100730844497,73.41633722102608,21.216255167663743,0.0
38.0,1.0,1.6001999999999998,79.3786,30.999515261817127,3.0
21.0,1.0,1.7843705634641176,44.25255120200931,13.898509011256474,0.0
38.0,1.0,1.8539584798948148,22.584763744124896,6.570759087671204,0.0
55.0,1.0,1.7271999999999998,81.64656,27.368603180112938,3.0
97.0,0.0,1.8106259169143248,46.28475901726726,14.118239402889358,2.0
59.0,1.0,1.8541999999999998,81.64656,23.74787410486812,3.0
36.0,1.0,1.733390292555247,98.89187293889478,32.91303124366588,0.0
54.0,1.0,1.610478899643251,65.31338190090752,25.18210866954086,1.0
93.0,0.0,1.6751526158664858,41.69005578768776,14.856746619571158,2.0
19.0,0.0,1.8541999999999998,77.11064,22.428547765708785,3.0
26.0,0.0,1.5969579836098562,88.60409702570088,34.74296063174472,0.0
42.0,0.0,1.6328435910946382,71.0494233694473,26.648415157152755,1.0
20.0,1.0,1.762068369588884,77.20373731695281,24.865249061110653,0.0
21.0,0.0,1.7982640631983484,112.684201308198,34.84625417342495,0.0
36.0,1.0,1.5748,63.50288,25.606051212102425,3.0
96.0,0.0,1.629201883495455,119.4601782258067,45.006304208335294,2.0
38.0,0.0,1.8830955269873666,12.508990493395475,3.5275855823630464,0.0
76.0,1.0,1.949937282156939,130.69914247377784,34.37410919960875,2.0
34.0,1.0,1.6841735985491564,54.20574284277293,19.110479782183468,0.0
35.0,1.0,1.720739220169843,107.85457055860812,36.42574465743811,0.0
57.0,1.0,1.6001999999999998,81.64656,31.88521569786904,3.0
